"id","ak1","ak2","exp","cou","di1","di2","emo","wo1","poi","rbe","rhy","sso","tel","wo3","wo2","un1","un2","tur","st","age","gr1","gr2","mh1","mh2","bor","sex","rtc","ssc","owp","onp","nch","em1","em2","pan"
12147,1,1,NA,NA,0,1,NA,0,1,NA,NA,NA,1,1,0,1,1,NA,1,1,7,4,3,3,3,1,2,2,NA,NA,2,1,1,3
12154,0,0,1,3,0,0,2,0,0,2,1,1,0,0,0,0,0,4,4,4,3,3,3,4,1,2,2,2,1,2,1,1,5,3
12155,0,0,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,2,2,4,7,5,2,3,3,2,4,4,2,2,2,2,1,3
12160,0,0,1,3,0,0,2,0,0,5,4,2,0,0,0,0,0,2,1,3,3,3,1,1,1,2,3,3,4,4,1,1,1,4
12165,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,2,2,5,NA,1,NA,2,1,2,3,NA,NA,2,2,NA,3
12170,1,1,NA,NA,1,1,NA,0,1,NA,NA,NA,1,1,0,0,1,NA,4,2,7,6,4,3,1,1,2,2,NA,NA,1,2,2,2
12172,0,0,1,2,0,0,1,0,0,1,1,1,0,0,0,0,0,2,5,5,7,7,3,3,4,2,1,4,3,5,3,5,1,3
12173,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,1,2,8,3,2,2,1,2,4,4,NA,NA,1,1,1,3
12175,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,3,2,6,6,3,2,1,2,4,4,NA,NA,1,1,1,3
12188,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,1,2,4,3,2,2,3,1,4,2,NA,NA,2,2,1,3
12193,0,0,2,4,0,0,2,0,0,3,3,3,0,0,0,0,0,2,1,3,7,9,1,1,3,1,4,4,5,5,3,2,1,3
12197,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,4,2,8,7,3,2,2,2,2,2,NA,NA,2,6,1,2
12198,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,2,2,3,3,1,2,3,1,3,2,NA,NA,2,1,1,3
12200,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,1,2,6,4,4,2,3,2,4,4,NA,NA,2,5,1,3
12202,0,0,1,3,0,0,1,0,0,1,2,1,0,0,0,0,0,1,1,5,3,3,1,1,3,2,4,2,1,1,2,1,4,3
12204,0,0,1,2,0,0,1,0,0,4,2,4,0,0,0,0,0,2,3,4,5,7,2,2,4,2,2,2,4,5,3,1,1,3
12206,0,0,2,4,0,0,4,0,0,4,4,4,0,0,0,0,0,2,4,4,3,3,2,2,3,1,1,1,3,3,3,2,4,3
12207,0,0,1,1,0,0,1,0,0,2,3,2,0,0,0,0,0,2,5,4,3,NA,3,NA,1,1,1,2,5,5,1,1,NA,3
12208,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,2,2,9,9,1,1,3,1,2,4,NA,NA,2,1,2,3
12210,0,0,1,2,0,0,1,0,0,1,2,1,0,0,0,0,0,2,3,5,8,NA,1,NA,1,1,2,2,3,3,1,1,NA,3
12212,0,0,2,1,0,0,2,0,0,1,1,1,0,0,0,0,0,2,3,5,3,7,2,3,1,1,3,2,4,4,1,1,1,3
12213,0,0,1,3,0,0,1,0,0,1,2,1,0,0,0,0,0,3,3,3,4,7,3,3,3,2,2,3,3,5,2,1,1,3
12214,1,1,NA,NA,1,1,NA,1,1,NA,NA,NA,1,1,1,0,1,NA,1,1,7,7,2,1,3,1,3,3,NA,NA,2,1,1,3
12216,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,1,2,7,7,1,1,3,1,4,4,NA,NA,2,5,1,2
12221,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,1,2,8,7,1,1,2,2,4,4,NA,NA,2,1,1,3
12224,1,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,1,0,0,1,NA,1,2,6,6,2,3,3,2,2,3,NA,NA,2,1,2,3
12234,0,0,1,2,0,0,2,0,0,2,1,2,0,0,0,0,0,2,3,5,3,3,3,3,1,2,3,3,3,3,1,5,1,3
12235,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,2,1,8,7,3,2,1,2,3,3,NA,NA,1,1,1,3
12240,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,1,2,3,3,2,2,4,2,2,4,NA,NA,3,5,1,2
12241,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,4,2,4,2,4,3,1,2,2,4,NA,NA,1,1,1,3
12257,0,0,1,3,0,0,4,0,0,4,4,4,0,0,0,0,0,1,2,4,5,6,2,1,3,2,4,4,5,5,2,1,1,3
12262,0,0,1,1,0,0,2,0,0,1,1,1,0,0,0,0,0,2,5,5,7,6,1,2,2,1,4,4,1,2,2,1,1,3
12263,0,0,1,1,0,0,1,0,0,2,1,1,0,0,0,0,0,2,4,5,5,7,1,1,3,1,3,4,3,4,2,1,5,3
12264,0,0,1,2,0,0,1,0,0,1,1,1,0,0,0,0,0,1,2,4,3,3,2,2,3,2,2,2,3,5,3,4,1,3
12266,0,0,1,1,0,0,3,0,0,1,2,1,0,0,0,0,0,2,4,5,8,7,3,3,3,1,3,2,3,4,2,1,1,3
12270,0,0,2,1,0,0,2,0,0,2,2,2,0,0,0,0,0,3,2,5,7,7,2,3,4,1,3,4,3,3,3,1,1,3
12271,0,0,1,2,0,0,2,0,0,3,2,2,0,0,0,0,0,3,3,4,7,5,1,2,1,2,4,4,3,4,1,1,1,3
12272,0,0,2,4,0,0,3,0,0,2,2,2,0,0,0,0,0,3,3,4,6,3,3,3,4,1,2,2,2,3,3,1,1,3
12277,0,0,1,3,0,0,1,0,0,1,2,1,0,0,0,0,0,3,2,3,7,7,2,1,5,1,4,4,5,5,4,1,2,3
12279,1,1,5,4,0,0,2,0,0,3,4,4,1,0,0,0,0,3,3,3,3,NA,4,NA,5,2,2,3,3,4,4,1,NA,3
12280,0,0,2,3,0,0,4,0,0,2,2,2,0,0,0,0,0,2,4,3,8,7,3,3,1,2,2,2,2,2,1,1,1,3
12281,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,5,2,7,3,4,1,3,1,2,1,NA,NA,3,2,1,3
12283,0,0,1,2,0,0,1,0,0,1,1,1,0,0,0,0,0,2,1,4,9,7,1,1,4,1,4,4,5,5,3,1,5,3
